,Target,Date,Tweet Ago,Compound,Positive,Negative,Neutral,Text,Source
22,BBC,2017-12-01 18:01:03,23,0.5574,0.184,0.0,0.816,"When @LoyleCarner met his all-time hero Eric Cantona. ??? Watch The Premier League Show, here. ?… https://t.co/NQDq5uxKkS","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
23,BBC,2017-12-01 17:30:09,24,0.8591,0.333,0.0,0.667,"'I’ve learnt for the first time in years to accept my skin.' 
Could ‘acne positivity’ help you to love your spots?… https://t.co/J1PLYHNzMO","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
24,BBC,2017-12-01 17:18:28,25,0.4767,0.193,0.0,0.807,"RT @BBCEarth: With a drone, his friends and a wheelchair, @jaimenhudson can fly
#OurBluePlanet #BluePlanet2 https://t.co/zM2p9ZnwbR","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
25,BBC,2017-12-01 17:06:02,26,0.0,0.0,0.0,1.0,All dressed up and heading out on a Friday night like... ? ? #FridayFeeling #BluePlanet2 https://t.co/mmJxVP7Hjy,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
26,BBC,2017-12-01 16:30:03,27,0.4003,0.172,0.0,0.828,"Who's excited for @PalomaFaith to host #SLFN tonight? 

WE ARE!

7.30pm | @BBCOne | https://t.co/JXdFw7Flfy https://t.co/x7kyc96jZb","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
27,BBC,2017-12-01 16:03:06,28,0.0,0.0,0.0,1.0,"Coming up on @BBCFour this Christmas; Eric, Ernie &amp; Me, La Bohème, Elvis and more! ?? ? ? https://t.co/lALkwMP6Th https://t.co/wL6oIRaUVc","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
28,BBC,2017-12-01 15:31:05,29,0.0,0.0,0.0,1.0,? ? @brittwray &amp; @elliecosgrave discuss how close we are to the next pandemic in episode 5 of the @TWBBC podcast. ?… https://t.co/zksLmMErzC,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
29,BBC,2017-12-01 14:59:04,30,0.0,0.0,0.0,1.0,"Today is the first day of winter - or is it? ?
Working out exactly when autumn finishes &amp; winter begins isn't as si… https://t.co/8qhmrtHUFX","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
30,BBC,2017-12-01 14:28:33,31,0.1027,0.136,0.117,0.748,"On #WorldAIDSDay, @RiyadhK looks at some iconic 80s advertising from the safe sex campaign stressing the importance… https://t.co/4IaLF5gWY2","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
31,BBC,2017-12-01 14:00:07,32,-0.296,0.0,0.115,0.885,"'For the ear, he (Elvis) is an unutterable bore.' ~ @NYTimes.
? 7 times music critics got things completely wrong.… https://t.co/8ETpF9UMXD","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
32,BBC,2017-12-01 13:31:02,33,0.0,0.0,0.0,1.0,"With drug-resistant superbugs on the rise, scientists are searching for new antibiotics in exotic and extreme place… https://t.co/zwgK11WqUJ","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
33,BBC,2017-12-01 13:00:08,34,0.5423,0.2,0.0,0.8,"'Cows always find time for extra-curricular activities.' ?
Nine udderly fascinating facts about cows. ?… https://t.co/5CluNT3eYN","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
